berry,cata_variable,checked,penalty_lift,count
blackberry,appearance_fresh,0,4.7018018018018015,518
blackberry,appearance_fresh,1,5.799153872398499,977
blackberry,appearance_goodcolor,0,4.628005822416303,458
blackberry,appearance_goodcolor,1,5.768254580520733,1037
blackberry,appearance_goodquality,0,4.692767295597484,636
blackberry,appearance_goodquality,1,5.956585176561894,859
blackberry,appearance_goodshapre,0,4.933107344632768,708
blackberry,appearance_goodshapre,1,5.855993223210504,787
blackberry,appearance_misshapen,0,5.630508905852417,1048
blackberry,appearance_misshapen,1,4.92289336316182,447
blackberry,appearance_none,0,5.42450742240216,1482
blackberry,appearance_none,1,4.783589743589744,13
blackberry,appearance_notfresh,0,5.572797270955165,1368
blackberry,appearance_notfresh,1,3.7615748031496063,127
blackberry,appearance_unevencolor,0,5.527757757757758,1332
blackberry,appearance_unevencolor,1,4.529652351738242,163
blackberry,appearane_bruised,0,5.528418901660281,1305
blackberry,appearane_bruised,1,4.666947368421052,190
blackberry,taste_berry,0,4.212706552706552,702
blackberry,taste_berry,1,6.486742328709542,793
blackberry,taste_cinnamon,0,5.409519890260631,1458
blackberry,taste_cinnamon,1,5.78990990990991,37
blackberry,taste_clove,0,5.414883499762245,1402
blackberry,taste_clove,1,5.48,93
blackberry,taste_earthy,0,5.528722627737226,1096
blackberry,taste_earthy,1,5.117360066833751,399
blackberry,taste_fermented,0,5.719191919191919,1221
blackberry,taste_fermented,1,4.080924574209246,274
blackberry,taste_floral,0,5.263683507083668,1247
blackberry,taste_floral,1,6.199569892473118,248
blackberry,taste_fruity,0,4.7965752961082915,985
blackberry,taste_fruity,1,6.6209411764705886,510
blackberry,taste_grape,0,5.476942992282798,1339
blackberry,taste_grape,1,4.921025641025641,156
blackberry,taste_grassy,0,5.551780976573525,1181
blackberry,taste_grassy,1,4.91927813163482,314
blackberry,taste_lemon,0,5.526370370370371,1260
blackberry,taste_lemon,1,4.842893617021277,235
blackberry,taste_minty,0,5.420064545873674,1446
blackberry,taste_minty,1,5.385578231292517,49
blackberry,taste_none,0,5.567769784172662,1390
blackberry,taste_none,1,3.4486349206349205,105
blueberry,appearance_bruised,0,5.964659977703456,1794
blueberry,appearance_bruised,1,5.221904761904762,84
blueberry,appearance_fresh,0,5.304571428571428,630
blueberry,appearance_fresh,1,6.247884615384615,1248
blueberry,appearance_goodcolor,0,5.39850406504065,615
blueberry,appearance_goodcolor,1,6.190942201108472,1263
blueberry,appearance_goodquality,0,5.339505094614265,687
blueberry,appearance_goodquality,1,6.2728799328295555,1191
blueberry,appearance_goodshape,0,5.375134459036898,533
blueberry,appearance_goodshape,1,6.1518909541511775,1345
blueberry,appearance_misshapen,0,5.990823021017482,1697
blueberry,appearance_misshapen,1,5.374659300184162,181
blueberry,appearance_none,0,5.939623858140784,1861
blueberry,appearance_none,1,5.035294117647059,17
blueberry,appearance_notfresh,0,6.039992133726647,1695
blueberry,appearance_notfresh,1,4.9259744990892536,183
blueberry,appearance_unevencolor,0,6.022568438003221,1656
blueberry,appearance_unevencolor,1,5.251651651651652,222
blueberry,appearane_creased,0,5.9635886214442015,1828
blueberry,appearane_creased,1,4.756,50
blueberry,taste_berry,0,4.784246975385899,799
blueberry,taste_berry,1,6.780932962619709,1079
blueberry,taste_citrus,0,5.937783699755719,1501
blueberry,taste_citrus,1,5.906171529619805,377
blueberry,taste_earthy,0,6.077638978321528,1553
blueberry,taste_earthy,1,5.2328205128205125,325
blueberry,taste_fermented,0,6.072389755440016,1731
blueberry,taste_fermented,1,4.271655328798186,147
blueberry,taste_floral,0,5.883526662417676,1569
blueberry,taste_floral,1,6.1747141316073355,309
blueberry,taste_fruity,0,5.359737391823336,1117
blueberry,taste_fruity,1,6.770582566798073,761
blueberry,taste_grassy,0,6.077079282782458,1543
blueberry,taste_grassy,1,5.260616915422886,335
blueberry,taste_none,0,6.028759342301943,1784
blueberry,taste_none,1,4.084397163120568,94
blueberry,taste_peachy,0,5.854949748743719,1592
blueberry,taste_peachy,1,6.357202797202797,286
blueberry,taste_piney,0,6.019246519246519,1628
blueberry,taste_piney,1,5.359626666666666,250
raspberry,appearance_bruised,0,5.963065876862323,1857
raspberry,appearance_bruised,1,5.143413516609393,291
raspberry,appearance_creased,0,5.894828101644245,2007
raspberry,appearance_creased,1,5.24274231678487,141
raspberry,appearance_fresh,0,5.333723365836042,923
raspberry,appearance_fresh,1,6.242546938775511,1225
raspberry,appearance_goodquality,0,5.240778498609824,1079
raspberry,appearance_goodquality,1,6.4689865918303715,1069
raspberry,appearance_goodshape,0,5.31311163895487,842
raspberry,appearance_goodshape,1,6.199469116896376,1306
raspberry,appearance_misshapen,0,5.982259383128948,1794
raspberry,appearance_misshapen,1,5.192015065913371,354
raspberry,appearance_none,0,5.8583836477987425,2120
raspberry,appearance_none,1,5.37047619047619,28
raspberry,appearance_notfresh,0,6.049406763285024,1725
raspberry,appearance_notfresh,1,5.04709219858156,423
raspberry,appearance_seedy,0,5.865713365539452,2070
raspberry,appearance_seedy,1,5.488717948717949,78
raspberry,appearance_unevencolor,0,6.130858513189448,1390
raspberry,appearance_unevencolor,1,5.340703605980651,758
raspberry,taste_berry,0,4.48630607966457,795
raspberry,taste_berry,1,6.65449618132545,1353
raspberry,taste_candy,0,5.65991598173516,1825
raspberry,taste_candy,1,6.9374613003095975,323
raspberry,taste_citrus,0,5.83228717948718,1625
raspberry,taste_citrus,1,5.913346080305927,523
raspberry,taste_earthy,0,6.021327106440942,1713
raspberry,taste_earthy,1,5.185318007662835,435
raspberry,taste_fermented,0,5.988048048048048,1998
raspberry,taste_fermented,1,4.040177777777778,150
raspberry,taste_floral,0,5.729031531531532,1776
raspberry,taste_floral,1,6.43921146953405,372
raspberry,taste_fruity,0,4.937205838546321,1119
raspberry,taste_fruity,1,6.8468545513443475,1029
raspberry,taste_grassy,0,6.041943350215719,1777
raspberry,taste_grassy,1,4.942353998203055,371
raspberry,taste_green,0,6.0391657598839315,1838
raspberry,taste_green,1,4.742451612903226,310
raspberry,taste_none,0,5.953075794621027,2045
raspberry,taste_none,1,3.845695792880259,103
raspberry,taste_tropical,0,5.629601386481802,1731
raspberry,taste_tropical,1,6.775315747402078,417
strawberry,appearance_bruised,0,5.7245915418965065,1269
strawberry,appearance_bruised,1,4.88137610413761,717
strawberry,appearance_creased,0,5.474258168184253,1867
strawberry,appearance_creased,1,4.571540616246499,119
strawberry,appearance_fresh,0,4.957890227576975,1245
strawberry,appearance_fresh,1,6.1968690958164645,741
strawberry,appearance_goodquality,0,5.0274664715922945,1367
strawberry,appearance_goodquality,1,6.287409800753904,619
strawberry,appearance_goodshape,0,4.894524765729585,996
strawberry,appearance_goodshape,1,5.948996632996633,990
strawberry,appearance_misshapen,0,5.518704021345531,1749
strawberry,appearance_misshapen,1,4.692995780590717,237
strawberry,appearance_none,0,5.423586626139818,1974
strawberry,appearance_none,1,4.857777777777778,12
strawberry,appearance_notfresh,0,5.832778633795583,1298
strawberry,appearance_notfresh,1,4.641724806201551,688
strawberry,appearance_seedy,0,5.514688796680498,1446
strawberry,appearance_seedy,1,5.167061728395062,540
strawberry,appearance_unevencolor,0,5.765766914629826,941
strawberry,appearance_unevencolor,1,5.1089633173843705,1045
strawberry,taste_berry,0,4.437499202551834,1045
strawberry,taste_berry,1,6.511441728657457,941
strawberry,taste_caramel,0,5.378270571827057,1912
strawberry,taste_caramel,1,6.5027027027027025,74
strawberry,taste_cherry,0,5.323767459418648,1766
strawberry,taste_cherry,1,6.194,220
strawberry,taste_citrus,0,5.467605517809347,1619
strawberry,taste_citrus,1,5.210899182561308,367
strawberry,taste_earthy,0,5.687976671152984,1486
strawberry,taste_earthy,1,4.62424,500
strawberry,taste_fermented,0,5.664622697563874,1683
strawberry,taste_fermented,1,4.062354235423542,303
strawberry,taste_floral,0,5.331136712749616,1736
strawberry,taste_floral,1,6.0384,250
strawberry,taste_fruity,0,4.68295681063123,1204
strawberry,taste_fruity,1,6.555208866155158,782
strawberry,taste_grapey,0,5.391482745544179,1758
strawberry,taste_grapey,1,5.641345029239766,228
strawberry,taste_grassy,0,5.707744960150023,1422
strawberry,taste_grassy,1,4.695106382978723,564
strawberry,taste_melon,0,5.397214814814815,1800
strawberry,taste_melon,1,5.6422939068100355,186
strawberry,taste_none,0,5.509805183199285,1865
strawberry,taste_none,1,4.038567493112947,121
strawberry,taste_peachy,0,5.34646254784035,1829
strawberry,taste_peachy,1,6.278811040339702,157
